sample_name,mgrast_id,biome,collection_date,country,env_package,feature,latitude,location,longitude,material,collection_time,collection_timezone,altitude,depth,elevation,samp_size,ANONYMIZED_NAME,DESCRIPTION,PLATFORM,REGION,SAMPLE_CENTER,TAXON_ID,TITLE,assigned_from_geo,common_sample_site,days_since_epoch,host_individual,mislabeled,public,sample_id
Unique name or id of the sample,,"The environmental biome represents the major classes of ecologically similar communities of plants, animals, and other organisms. Biomes are defined based on factors such as plant structures, leaf types, plant spacing, and other factors like climate. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO terms listed under environmental biome can be found from the link: http://purl.obolibrary.org/obo/ENVO_01000254","The date of sampling. Use ISO8601 compliant format, ie. 2008-01-23",The geographical origin of the sample as defined by the country or sea name. Country or sea names should be chosen from the INSDC country list: http://insdc.org/country.html,"MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. Use one of: air,  built environment, host-associated, human-associated, human-oral, human-gut, human-skin, human-vaginal, microbial mat|biofilm, miscellaneous, plant-associated, sediment, soil, wastewater|sludge, water","Environmental feature level includes geographic environmental features. Examples include: harbor, cliff, or lake. EnvO terms listed under environmental feature can be found from the link: http://purl.obolibrary.org/obo/ENVO_00002297",The geographical origin of the sample as defined by latitude. The value should be reported in decimal degrees and in WGS84 system,The geographical origin of the sample as defined by the specific local region name,The geographical origin of the sample as defined by longitude. The value should be reported in decimal degrees and in WGS84 system,"The environmental material level refers to the matter that was displaced by the sample, prior to the sampling event. Environmental matter terms are generally mass nouns. Examples include: air, soil, or water. EnvO terms listed under environmental matter can be found from the link: http://purl.obolibrary.org/obo/ENVO_00010483","The local time of sampling.  Use ISO8601 compliant format, ie. 19:23:10","The timezone of sampling.  Use ISO8601 compliant format, ie. UTC-7",The altitude of the sample is the vertical distance in meters between Earth's surface above Sea Level and the sampled position in the air.,"Depth is defined as the vertical distance in meters below surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly.",The elevation of the sampling site in meters as measured by the vertical distance from mean sea level.,"Amount or size of sample (volume, mass or area) that was collected, along with the unit used","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here",Internal ID of sample
L1S1,mgs24200,human-associated habitat,2008-10-21,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_1,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14173,F4,y,y,qiime:228364
L1S10,mgs23027,human-associated habitat,2008-10-30,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_2,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14182,F4,n,y,qiime:227308
L1S100,mgs22416,human-associated habitat,2009-03-12,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_3,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14315,F4,n,y,qiime:226759
L1S101,mgs22356,human-associated habitat,2009-03-13,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_4,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14316,F4,n,y,qiime:226704
L1S102,mgs22528,human-associated habitat,2009-03-14,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_5,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14317,F4,n,y,qiime:226860
L1S103,mgs23381,human-associated habitat,2009-03-15,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_6,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14318,F4,n,y,qiime:227627
L1S104,mgs23589,human-associated habitat,2009-03-16,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_7,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14319,F4,n,y,qiime:227814
L1S105,mgs22815,human-associated habitat,2009-03-17,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_8,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14320,F4,n,y,qiime:227117
L1S106,mgs22757,human-associated habitat,2009-03-18,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_9,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14321,F4,n,y,qiime:227065
L1S107,mgs22591,human-associated habitat,2009-03-19,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_10,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14322,F4,n,y,qiime:226916
L1S108,mgs22411,human-associated habitat,2009-03-20,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_11,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14323,F4,n,y,qiime:226754
L1S109,mgs23120,human-associated habitat,2009-03-21,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_12,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14324,F4,n,y,qiime:227392
L1S11,mgs22670,human-associated habitat,2008-10-31,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_13,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14183,F4,n,y,qiime:226986
L1S110,mgs24153,human-associated habitat,2009-03-22,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_14,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14325,F4,n,y,qiime:228322
L1S111,mgs22858,human-associated habitat,2009-03-23,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_15,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14326,F4,n,y,qiime:227156
L1S112,mgs23959,human-associated habitat,2009-03-25,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_16,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14328,F4,n,y,qiime:228147
L1S113,mgs22995,human-associated habitat,2009-03-26,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_17,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14329,F4,n,y,qiime:227280
L1S114,mgs24036,human-associated habitat,2009-03-27,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_18,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14330,F4,n,y,qiime:228216
L1S115,mgs23753,human-associated habitat,2009-03-28,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_19,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14331,F4,n,y,qiime:227963
L1S116,mgs23018,human-associated habitat,2009-03-29,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_20,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14332,F4,n,y,qiime:227300
L1S117,mgs22656,human-associated habitat,2009-03-31,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_21,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14334,F4,n,y,qiime:226975
L1S118,mgs24272,human-associated habitat,2009-04-05,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_22,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14339,F4,n,y,qiime:228429
L1S119,mgs22628,human-associated habitat,2009-04-06,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_23,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14340,F4,n,y,qiime:226950
L1S12,mgs23076,human-associated habitat,2008-11-01,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_24,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14184,F4,n,y,qiime:227353
L1S120,mgs22891,human-associated habitat,2009-04-10,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_25,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14344,F4,n,y,qiime:227185
L1S121,mgs23760,human-associated habitat,2009-04-11,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_26,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14345,F4,n,y,qiime:227969
L1S122,mgs23059,human-associated habitat,2009-04-12,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_27,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14346,F4,n,y,qiime:227337
L1S123,mgs23590,human-associated habitat,2009-04-13,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_28,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14347,F4,n,y,qiime:227815
L1S124,mgs23447,human-associated habitat,2009-04-16,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_29,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14350,F4,n,y,qiime:227686
L1S125,mgs22132,human-associated habitat,2009-04-17,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_30,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14351,F4,n,y,qiime:226503
L1S126,mgs23628,human-associated habitat,2009-04-18,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_31,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14352,F4,n,y,qiime:227850
L1S127,mgs22894,human-associated habitat,2009-04-19,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_32,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14353,F4,n,y,qiime:227188
L1S128,mgs22834,human-associated habitat,2009-04-20,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_33,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14354,F4,n,y,qiime:227134
L1S129,mgs23482,human-associated habitat,2009-04-21,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_34,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14355,F4,n,y,qiime:227718
L1S13,mgs23229,human-associated habitat,2008-11-02,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_35,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14185,F4,n,y,qiime:227490
L1S130,mgs23996,human-associated habitat,2009-04-22,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_36,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14356,F4,n,y,qiime:228181
L1S131,mgs23719,human-associated habitat,2009-04-23,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_37,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14357,F4,n,y,qiime:227932
L1S132,mgs22103,human-associated habitat,2009-04-24,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_38,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14358,F4,n,y,qiime:226477
L1S133,mgs23846,human-associated habitat,2008-10-21,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_39,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14173,M3,n,y,qiime:228045
L1S134,mgs24048,human-associated habitat,2008-10-22,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_40,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14174,M3,n,y,qiime:228227
L1S135,mgs23984,human-associated habitat,2008-10-23,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_41,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14175,M3,n,y,qiime:228170
L1S136,mgs23808,human-associated habitat,2008-10-24,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_42,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14176,M3,n,y,qiime:228011
L1S137,mgs22645,human-associated habitat,2008-10-25,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_43,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14177,M3,n,y,qiime:226965
L1S138,mgs23701,human-associated habitat,2008-10-26,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_44,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14178,M3,n,y,qiime:227915
L1S139,mgs23863,human-associated habitat,2008-10-27,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_45,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14179,M3,n,y,qiime:228061
L1S14,mgs23090,human-associated habitat,2008-11-03,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_46,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14186,F4,n,y,qiime:227365
L1S140,mgs22453,human-associated habitat,2008-10-28,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_47,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14180,M3,n,y,qiime:226792
L1S141,mgs22703,human-associated habitat,2008-10-29,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_48,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14181,M3,n,y,qiime:227016
L1S142,mgs23128,human-associated habitat,2008-10-30,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_49,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14182,M3,n,y,qiime:227399
L1S143,mgs23149,human-associated habitat,2008-10-31,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_50,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14183,M3,n,y,qiime:227418
L1S144,mgs23385,human-associated habitat,2008-11-01,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_51,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14184,M3,n,y,qiime:227631
L1S145,mgs23891,human-associated habitat,2008-11-02,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_52,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14185,M3,n,y,qiime:228085
L1S146,mgs22906,human-associated habitat,2008-11-03,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_53,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14186,M3,n,y,qiime:227199
L1S147,mgs23620,human-associated habitat,2008-11-04,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_54,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14187,M3,n,y,qiime:227843
L1S148,mgs23070,human-associated habitat,2008-11-05,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_55,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14188,M3,n,y,qiime:227347
L1S149,mgs22118,human-associated habitat,2008-11-06,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_56,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14189,M3,n,y,qiime:226490
L1S15,mgs23331,human-associated habitat,2008-11-04,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_57,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14187,F4,n,y,qiime:227583
L1S150,mgs22518,human-associated habitat,2008-11-07,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_58,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14190,M3,n,y,qiime:226851
L1S151,mgs23101,human-associated habitat,2008-11-08,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_59,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14191,M3,n,y,qiime:227375
L1S152,mgs23180,human-associated habitat,2008-11-09,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_60,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14192,M3,n,y,qiime:227446
L1S153,mgs22593,human-associated habitat,2008-11-10,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_61,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14193,M3,n,y,qiime:226918
L1S154,mgs23401,human-associated habitat,2008-11-11,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_62,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14194,M3,n,y,qiime:227645
L1S155,mgs22164,human-associated habitat,2008-11-12,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_63,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14195,M3,n,y,qiime:226532
L1S156,mgs22708,human-associated habitat,2008-11-13,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_64,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14196,M3,n,y,qiime:227021
L1S157,mgs24018,human-associated habitat,2008-11-14,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_65,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14197,M3,n,y,qiime:228200
L1S158,mgs23228,human-associated habitat,2008-11-15,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_66,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14198,M3,n,y,qiime:227489
L1S159,mgs23586,human-associated habitat,2008-11-16,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_67,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14199,M3,n,y,qiime:227812
L1S16,mgs22818,human-associated habitat,2008-11-05,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_68,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14188,F4,n,y,qiime:227120
L1S160,mgs22162,human-associated habitat,2008-11-17,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_69,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14200,M3,n,y,qiime:226530
L1S161,mgs22352,human-associated habitat,2008-11-18,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_70,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14201,M3,n,y,qiime:226701
L1S162,mgs24086,human-associated habitat,2008-11-19,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_71,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14202,M3,n,y,qiime:228262
L1S163,mgs24129,human-associated habitat,2008-11-20,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_72,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14203,M3,n,y,qiime:228300
L1S164,mgs22756,human-associated habitat,2008-11-21,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_73,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14204,M3,n,y,qiime:227064
L1S165,mgs22852,human-associated habitat,2008-11-22,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_74,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14205,M3,n,y,qiime:227151
L1S166,mgs23200,human-associated habitat,2008-12-01,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_75,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14214,M3,n,y,qiime:227464
L1S167,mgs23360,human-associated habitat,2008-12-02,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_76,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14215,M3,n,y,qiime:227608
