sample_name,mgrast_id,body_habitat,body_site,sex
L1S241,mge35185,UBERON:gut,UBERON:feces,male
L1S242,mge36568,UBERON:gut,UBERON:feces,male
L1S244,mge35812,UBERON:gut,UBERON:feces,male
L1S245,mge35457,UBERON:gut,UBERON:feces,male
L1S246,mge36221,UBERON:gut,UBERON:feces,male
L1S247,mge35661,UBERON:gut,UBERON:feces,male
L1S250,mge35084,UBERON:gut,UBERON:feces,male
L1S251,mge35414,UBERON:gut,UBERON:feces,male
L1S252,mge36902,UBERON:gut,UBERON:feces,male
L1S255,mge35047,UBERON:gut,UBERON:feces,male
L1S257,mge35783,UBERON:gut,UBERON:feces,male
L1S258,mge35464,UBERON:gut,UBERON:feces,male
L1S259,mge36560,UBERON:gut,UBERON:feces,male
L1S260,mge35474,UBERON:gut,UBERON:feces,male
L1S261,mge35765,UBERON:gut,UBERON:feces,male
L1S263,mge35210,UBERON:gut,UBERON:feces,male
L1S266,mge35714,UBERON:gut,UBERON:feces,male
L1S268,mge35127,UBERON:gut,UBERON:feces,male
L1S270,mge35177,UBERON:gut,UBERON:feces,male
L1S271,mge34962,UBERON:gut,UBERON:feces,male
L1S272,mge35705,UBERON:gut,UBERON:feces,male
L1S273,mge36514,UBERON:gut,UBERON:feces,male
L1S274,mge35225,UBERON:gut,UBERON:feces,male
L1S275,mge35579,UBERON:gut,UBERON:feces,male
L1S277,mge35343,UBERON:gut,UBERON:feces,male
L1S279,mge34913,UBERON:gut,UBERON:feces,male
L1S28,mge36242,UBERON:gut,UBERON:feces,female
L1S280,mge36293,UBERON:gut,UBERON:feces,male
L1S281,mge36173,UBERON:gut,UBERON:feces,male
L1S282,mge34932,UBERON:gut,UBERON:feces,male
L1S283,mge36926,UBERON:gut,UBERON:feces,male
L1S284,mge35598,UBERON:gut,UBERON:feces,male
L1S285,mge35357,UBERON:gut,UBERON:feces,male
L1S286,mge34902,UBERON:gut,UBERON:feces,male
L1S287,mge35311,UBERON:gut,UBERON:feces,male
L1S29,mge36284,UBERON:gut,UBERON:feces,female
L1S291,mge36380,UBERON:gut,UBERON:feces,male
L1S292,mge35068,UBERON:gut,UBERON:feces,male
L1S296,mge36188,UBERON:gut,UBERON:feces,male
L1S297,mge34897,UBERON:gut,UBERON:feces,male
L1S298,mge36183,UBERON:gut,UBERON:feces,male
L1S30,mge36218,UBERON:gut,UBERON:feces,female
L1S300,mge35112,UBERON:gut,UBERON:feces,male
L1S301,mge34893,UBERON:gut,UBERON:feces,male
